intent,pattern,score,priority
pricing_complaint,課金|料金|高すぎ|値上げ|高過ぎ|値段の割に|値段のわりに|円もした|円もする|家賃|上がる|上がった|割高|コスパ悪|予算を超え|予算オーバー|利益が出ない|この価格では|ライセンス費|コストが|安くない,0.8,100
support_request,助けてください|助けて！|助けて。|確認して|教えて|対応して|請求まわり|困っています|困っている|困った|わかりません|わからない|解決できません|どうすればいい|どうしたらいい,0.75,90
positive_feedback,最高|最高すぎ|最高かよ|神|神対応|神すぎ|天才|天才すぎ|尊い|尊すぎ|さすが|さすがだ|良かった|よかった|嬉しい|うれしい|嬉しかった|助けてくれた|助かった|解決できそう|解決できた|なんとか解決|ワラッタ|わらった|ワロタ|わろた|ワロス|草生える|大草原|www|笑った|好き|好きだ|好きです|好きだよ|大好き|だいすき|好きすぎ|大好きすぎ|感謝|ありがとう|おめでとう|感動|感動した|感激|感極まった|号泣|大号泣|満足|充実|達成感|幸せ|しあわせ|幸福|至福|歓喜|楽しみ|たのしみ|楽しい|たのしい|楽しかった|楽しみにしてる|待ち遠しい|やった|やったー|ハッピー|喜び|癒やし|癒される|爽快|スッキリ|晴れやか|安堵|誇らしい|心強い|エモい|泣けた|じーん,0.85,100
negative_feedback,最悪|最悪すぎ|無理|マジ無理|無理ゲー|つらい|つらすぎ|きつい|しんどい|ばかりなのに|ばっかりなのに|うざい|うざっ|最低|不満|ムカつく|ムカムカ|腹立つ|腹が立つ|許せない|ふざけんな|キレた|キレる|激おこ|うんざり|絶望|悲しい|哀しい|悲しむ|切ない|やるせない|嫌い|嫌だ|嫌になる|嫌悪|キモい|きもい|気持ち悪い|ありえない|ドン引き|引いた|嫉妬|冷めた|寂しい|さびしい|後悔|残念|憂鬱|がっかり|がっかりした|情けない|落ち込んだ|落ち込む|泣きたい|虚無|イライラ|イライラする|怒り|怒った|憤り|憤慨|激怒|不快|めんどくさい|めんどい|だるい|モヤモヤ|萎えた|ショック|不便|遅い|届いていない|届きません|バグった|クレームです|改善してほしい|改善をお願い|おかしい|壊れている,0.8,90
agreement,それな|わかる|同意|そうそう|うんうん|だよね|ですよね|ほんとそれ|本当それ|わかった|わかりました|了解|OK|おっけー|そう思う|同感|激しく同意|正しいんだよな|言えてる,0.8,80
admiration,尊い|尊すぎ|神|神すぎ|神対応|天才|天才すぎ|さすが|さすがだ|頼もしい|助けてくれた|誇らしい|心強い|頼もしすぎ|尊敬|尊敬する|リスペクト|憧れ|敬愛|崇拝|信頼|信じてる,0.85,85
desire,したい|欲しい|望む|願う|希望|やってみたい|試したい|導入したい|実現したい|検討したい|取り入れたい|使いたい|作りたい|改善したい|解決したい|知りたい|といいな|といいね|といいのに|たいね|たいな|行きたい|やりたい|見たい|食べたい|買いたい|こそ,0.75,80
question,ですか|ますか|でしょうか|何|なに|どう|教えて|いつ|なぜ|どこ|質問|わかりません|わからない|いかが|どうすれば|どうやって|どうやら|どのくらい|どれくらい,0.6,70
request,お願い|してほしい|してください|して欲しい|いただけますか|いただけますでしょうか|いただけないでしょうか|いただけませんか|ください|下さい|してくれない|してくれませんか|くれない？|くれませんか|くれる？|しないで|ないでよ|ないでね|お聞かせ|ご共有|ご確認|ご注意|募集します|募集中|手伝って|来て|見て|聞いて|待って|やめて,0.7,75
